q|filas|con_fecha_cuadro|con_fecha_autoriz|con_fecha_compra|con_fecha_nro_cuadro|min_autoriz|max_autoriz|min_compra|max_compra|min_nro_cuadro|max_nro_cuadro
-|-----|----------------|-----------------|----------------|--------------------|-----------|-----------|----------|----------|--------------|--------------
A_cobertura|1473|44|1473|1473|1473|2026-01-14 00:00:00.000|2026-06-11 00:00:00.000|2026-01-14 00:00:00.000|2026-06-11 00:00:00.000|2026-01-14 00:00:00.000|2026-06-11 00:00:00.000
q|filas|igual_autoriz|igual_compra|igual_nro_cuadro|cuadro_antes_autoriz|cuadro_despues_autoriz
-|-----|-------------|------------|----------------|--------------------|----------------------
B_concordancia_con_fecha_cuadro|44|5|5|5|39|0
q|filas|autoriz_eq_compra|autoriz_antes_compra|autoriz_despues_compra|nrocuadro_eq_autoriz|nrocuadro_antes_autoriz|nrocuadro_despues_autoriz|nrocuadro_eq_reg
-|-----|-----------------|--------------------|----------------------|--------------------|-----------------------|-------------------------|----------------
C_relacion_candidatas|1473|1458|0|15|1472|1|0|1465
q|ccmn_con_orden|con_cotizacion|cot_antes_autoriz|cot_despues_autoriz|autoriz_antes_orden|autoriz_despues_orden|compra_antes_orden|compra_despues_orden|nrocuadro_antes_orden|nrocuadro_despues_orden
-|--------------|--------------|-----------------|-------------------|-------------------|---------------------|------------------|--------------------|---------------------|-----------------------
D_orden_temporal|1454|1311|1189|122|1280|174|1295|159|1281|173
q|TIPO_BIEN|NRO_CONS_PAAC|SEC_CUADRO|ESTADO|f_cuadro|f_autoriz|f_compra|f_nro_cuadro|f_reg
-|---------|-------------|----------|------|--------|---------|--------|------------|-----
E_muestra|S|2003|1|2|NULL|2026-01-14|2026-01-14|2026-01-14|2026-01-14
E_muestra|B|2150|2|2|NULL|2026-02-03|2026-02-03|2026-02-03|2026-02-03
E_muestra|S|2009|2|2|NULL|2026-01-16|2026-01-16|2026-01-16|2026-01-16
E_muestra|B|2082|3|2|NULL|2026-02-04|2026-02-04|2026-02-04|2026-02-04
E_muestra|S|2013|3|2|NULL|2026-01-16|2026-01-16|2026-01-16|2026-01-16
E_muestra|B|2081|4|2|NULL|2026-02-04|2026-02-04|2026-02-04|2026-02-04
E_muestra|B|2148|5|2|NULL|2026-02-04|2026-02-04|2026-02-04|2026-02-04
E_muestra|S|2007|5|2|NULL|2026-01-20|2026-01-20|2026-01-20|2026-01-20
E_muestra|B|2145|6|2|NULL|2026-02-11|2026-02-11|2026-02-11|2026-02-11
E_muestra|S|2011|6|2|NULL|2026-01-20|2026-01-20|2026-01-20|2026-01-20
E_muestra|B|2144|7|2|NULL|2026-02-12|2026-02-12|2026-02-12|2026-02-12
E_muestra|S|2061|7|2|NULL|2026-01-20|2026-01-20|2026-01-20|2026-01-20
E_muestra|B|2152|8|2|NULL|2026-02-12|2026-02-12|2026-02-12|2026-02-12
E_muestra|S|2033|8|2|NULL|2026-01-22|2026-01-22|2026-01-22|2026-01-22
E_muestra|B|2263|9|2|NULL|2026-02-13|2026-02-13|2026-02-13|2026-02-13
